;url;Population 0-14 ans;Population 15-29 ans;Population 30-44 ans;Population 45-59 ans;Population 60-74 ans;Population 75-89 ans;Population 90 ans et +;Sans diplôme;Brevet des collèges;CAP / BEP;Baccalauréat, brevet professionnel;Bac +2 à Bac +4;Bac +3 ou Bac +4;Bac +5 et plus;Couverture en très haut débit;Taux de chômage;Revenu médian;Taux de création d'entreprises;Prix médian au m2 d'un appartement;Evolution du prix médian au m2 d'un appartement;Prix médian au m2 d'une maison;Evolution du prix médian au m2 d'une maison;Cambriolages;Vols automobiles;Vols de particulier;Violences physiques;Violences sexuelles;Médecin;Dentiste;Infirmier;Pharmacie;Urgences;Crèche;Ecole maternelle;Ecole élementaire;Collège;Lycée;Hypermarché;Supermarché;Epicerie;Station service;Bureau de Poste;Hôtel;Restaurant;Boulangerie;Cinéma;Bibliothèque;Aeroport;Gare SNCF;Voisin 0;Voisin 1;Voisin 2;Voisin 3;Voisin 4;Voisin 5;Voisin 6;Voisin 7;Voisin 8;Voisin 9;Logements vacants;Résidences principales;Résidences secondaires;Propriétaires;Locataires;1 pièce;2 pièces;3 pièces;4 pièces;5 pièces et plus;Crimes et délits;Nom;Code postal;Evolution du nombre d'habitants;Habitants;Densité;Part de maisons;Part d'appartements
0;https://www.villesavivre.fr/baillet-en-france-95042;18,2%;16,5%;19,2%;22,3%;15,8%;7,4%;0,5%;12,5%;3,9%;24,1%;18,6%;16,8%;13,7%;10,4%;100%;5,65%;29430;13,3%;Not found!;Not found!;3671;+8,1%;492;1041;896;668;97;1;Montsoult (1,6 km);4;1;Eaubonne (6,9 km);Montsoult (1,6 km);Montsoult (1,6 km);Montsoult (1,6 km);Montsoult (1,9 km);Domont (4,2 km);Moisselles (2,7 km);Maffliers (2,7 km);Montsoult (1,7 km);Ézanville (2,2 km);Montsoult (1,5 km);1;3;1;Domont (4 km);1;15,4;Montsoult (1,7 km);Chauvry à 2,5 km;Montsoult à 1,4 km;Bouffémont à 1,9 km;Nerville-la-Forêt à 4 km;Béthemont-la-Forêt à 3,8 km;Moisselles à 2,9 km;Attainville à 3,5 km;Maffliers à 2,9 km;Domont à 3,5 km;Villaines-sous-Bois à 4,4 km;4,5%;95%;0,5%;Not found!;13,5%;4%;5,3%;11,8%;20,7%;58,1%;5620;Baillet-en-France;95560;-5,35%;1 893;239;Not found!;14,7%
1;https://www.villesavivre.fr/boinville-en-mantois-78070;20,8%;12,3%;19,8%;22,2%;17,1%;7,8%;0%;11,9%;3,3%;30,8%;16,9%;17,9%;11,4%;7,8%;100%;5,9%;27610;18,2%;Not found!;Not found!;Not found!;Not found!;501;595;511;384;56;Guerville (2,1 km);Guerville (2,3 km);Guerville (2,1 km);Guerville (2,2 km);Aubergenville (7,7 km);Mantes-la-Ville (5,1 km);1;1;Mantes-la-Ville (4,6 km);Mantes-la-Ville (4,7 km);Limay (6,8 km);Mézières-sur-Seine (5,4 km);Arnouville-lès-Mantes (2,3 km);Mantes-la-Ville (5 km);Guerville (2 km);Épône (5,9 km);Guerville (1,6 km);Guerville (2,1 km);Mantes-la-Jolie (7,2 km);Guerville (2,1 km);50,1;Épône (5,9 km);Guerville à 2,7 km;Jumeauville à 3,5 km;Mézières-sur-Seine à 3,7 km;Vert à 5 km;Hargeville à 3,7 km;Auffreville-Brasseuil à 4,3 km;Goussonville à 1,4 km;Arnouville-lès-Mantes à 2,8 km;Villette à 4 km;Breuil-Bois-Robert à 3 km;7,6%;90,5%;1,9%;Not found!;14,5%;0,8%;4%;16%;20,6%;58,5%;4026;Boinville-en-Mantois;78930;-2,38%;287;58;Not found!;4,4%
2;https://www.villesavivre.fr/emance-78209;19,8%;13,5%;19,2%;24,2%;16,7%;6,3%;0,3%;9,1%;4,9%;19,6%;20,1%;15,4%;13,5%;17,5%;100%;4,95%;29510;13,3%;Not found!;Not found!;3462;+26,58%;467;474;643;315;67;Épernon (4,4 km);Épernon (3,5 km);1;Épernon (4,6 km);Rambouillet (9,7 km);Droue-sur-Drouette (3,7 km);1;1;Épernon (5 km);Rambouillet (8,7 km);Rambouillet (7,9 km);Saint-Hilarion (4,2 km);Épernon (4,4 km);Hanches (6,7 km);Épernon (4,7 km);Épernon (3,7 km);Orphin (1,9 km);Épernon (4,5 km);Épernon (4,6 km);Saint-Hilarion (3,5 km);48,4;Épernon (4,2 km);Gazeran à 5,8 km;Gas à 5,7 km;Raizeux à 6 km;Saint-Hilarion à 3,6 km;Droue-sur-Drouette à 2,7 km;Orcemont à 5,6 km;Écrosnes à 4,2 km;Hanches à 6,3 km;Épernon à 3,6 km;Orphin à 4 km;7,5%;85%;7,5%;Not found!;9,2%;2,3%;2,9%;9,1%;18,8%;66,8%;3925;Émancé;78125;1,37%;891;74;Not found!;8,5%
3;https://www.villesavivre.fr/villeneuve-la-garenne-92078;23,1%;18,7%;21,6%;18,3%;12,8%;5,2%;0,5%;32,8%;5,3%;20,9%;18,1%;9%;6,5%;7,4%;95,72%;12,86%;18240;24,7%;3172;-2,25%;4433;-7,99%;370;1448;2480;1598;166;12;13;11;7;Clichy (3,5 km);8;7;6;2;2;2;5;10;1;1;1;82;14;2;1;8;Gennevilliers (1,3 km);Asnières-sur-Seine à 3,6 km;Gennevilliers à 2,3 km;Saint-Denis à 2,6 km;Deuil-la-Barre à 3,9 km;L'Île-Saint-Denis à 0,1 km;Clichy à 3,9 km;Villetaneuse à 2,8 km;Épinay-sur-Seine à 2,2 km;Pierrefitte-sur-Seine à 3,9 km;Saint-Ouen-sur-Seine à 3,1 km;4,2%;94,4%;1,4%;25,6%;Not found!;5,2%;16,3%;39%;30,4%;9,1%;11006;Villeneuve-la-Garenne;92390;4,63%;25 371;7928;6,8%;Not found!
4;https://www.villesavivre.fr/jouy-le-moutier-95323;23,5%;18,7%;21,2%;21,1%;13,3%;2%;0,2%;19,1%;5,5%;23,1%;19,7%;12,9%;10,4%;9,3%;94,89%;8,73%;24320;25,5%;3671;+1,72%;3248;-3,51%;478;1205;1020;942;87;12;3;11;3;Pontoise (7,5 km);2;8;8;2;1;Conflans-Sainte-Honorine (3,8 km);1;2;1;1;Cergy (2,6 km);14;2;1;1;30;Andrésy (3,3 km);Vaux-sur-Seine à 4,4 km;Cergy à 3,5 km;Vauréal à 2,2 km;Maurecourt à 2 km;Neuville-sur-Oise à 2,2 km;Triel-sur-Seine à 4,1 km;Courdimanche à 4,2 km;Boisemont à 2,3 km;Andrésy à 3,5 km;Chanteloup-les-Vignes à 3,9 km;3,8%;94,8%;1,4%;Not found!;33,7%;1,4%;9,3%;15,2%;27,6%;46,5%;6459;Jouy-le-Moutier;95280;7,05%;17 175;2493;Not found!;28,4%
5;https://www.villesavivre.fr/villers-en-arthies-95676;21,4%;13,5%;19,8%;23%;15,7%;6,3%;0,2%;8,9%;7,7%;28,3%;20,9%;14,3%;12,6%;7,4%;99,32%;7,55%;28010;18,2%;Not found!;Not found!;Not found!;Not found!;569;1162;612;339;63;Vétheuil (3,1 km);Magny-en-Vexin (8,6 km);Vétheuil (3 km);Vétheuil (3,3 km);Magny-en-Vexin (8,6 km);Aincourt (2,2 km);1;1;La Roche-Guyon (7,2 km);Mantes-la-Jolie (10,1 km);Limay (10,9 km);Magny-en-Vexin (7,8 km);Vétheuil (3,3 km);Charmont (7 km);Vétheuil (3,3 km);La Roche-Guyon (7,3 km);Vétheuil (3 km);Vétheuil (3,3 km);Mantes-la-Jolie (10,2 km);Saint-Cyr-en-Arthies (2,9 km);49,6;Mantes-la-Jolie (10,9 km);Chérence à 3,6 km;Genainville à 3,9 km;Chaussy à 3,6 km;Vétheuil à 3,2 km;Drocourt à 4,7 km;Vienne-en-Arthies à 2,3 km;Haute-Isle à 4,9 km;Saint-Cyr-en-Arthies à 3,1 km;Aincourt à 3,5 km;Maudétour-en-Vexin à 4,3 km;7,9%;76,7%;15,4%;Not found!;13,2%;0,5%;5,4%;10,8%;19,1%;64,2%;4303;Villers-en-Arthies;95510;-3,36%;489;59;Not found!;5,4%
6;https://www.villesavivre.fr/follainville-dennemont-78239;20%;18,4%;19,3%;21%;14,2%;6,8%;0,3%;18,4%;4,9%;28,9%;19,7%;12,9%;8,4%;6,7%;97,4%;9,18%;24850;21,9%;Not found!;Not found!;2615;-15,12%;501;595;511;384;56;3;Mantes-la-Jolie (2,3 km);Mantes-la-Jolie (2,3 km);Mantes-la-Jolie (2,7 km);Mantes-la-Jolie (3,7 km);Saint-Martin-la-Garenne (2,3 km);2;2;Mantes-la-Jolie (2,5 km);Mantes-la-Jolie (3 km);Buchelay (5 km);Mantes-la-Jolie (2,8 km);1;Mantes-la-Jolie (2,9 km);Mantes-la-Jolie (2,9 km);Mantes-la-Jolie (2,7 km);3;1;Mantes-la-Jolie (3,2 km);Saint-Martin-la-Garenne (2,4 km);53,6;Mantes-la-Jolie (3,8 km);Guernes à 5 km;Vétheuil à 4,3 km;Limay à 3,9 km;Fontenay-Saint-Père à 3,4 km;Vienne-en-Arthies à 4,9 km;Mousseaux-sur-Seine à 5,3 km;Buchelay à 5 km;Saint-Cyr-en-Arthies à 4,6 km;Saint-Martin-la-Garenne à 2,7 km;Mantes-la-Jolie à 3 km;7,3%;90,2%;2,5%;Not found!;31,1%;6,1%;13,4%;16,8%;19,2%;44,5%;4026;Follainville-Dennemont;78520;6%;2 173;224;Not found!;29,8%
7;https://www.villesavivre.fr/aulnay-sur-mauldre-78033;19,6%;15,3%;18,6%;25,3%;16,6%;4,6%;0,2%;16,3%;3,6%;23,2%;16,8%;15,1%;11,5%;13,5%;92%;6,65%;28360;3,7%;Not found!;Not found!;3257;-1,12%;392;662;688;329;55;Maule (2 km);Maule (2,2 km);Bazemont (1,6 km);Maule (2,1 km);Aubergenville (3,1 km);Maule (2 km);1;1;Maule (3 km);Aubergenville (2,9 km);Flins-sur-Seine (4,6 km);Maule (2 km);Nézel (1,9 km);Maule (2 km);Maule (2,5 km);Épône (3,1 km);Maule (1,2 km);Maule (1,9 km);Maule (1,9 km);Bazemont (1,9 km);43,4;Nézel (1,1 km);Aubergenville à 3,9 km;Flins-sur-Seine à 5 km;Jumeauville à 4,8 km;Maule à 2,3 km;Herbeville à 4,6 km;La Falaise à 1,5 km;Mareil-sur-Mauldre à 5 km;Bazemont à 2,5 km;Nézel à 1,6 km;Épône à 3 km;10,3%;88,2%;1,6%;Not found!;11,4%;3,1%;7,4%;12,2%;20,1%;57,2%;3860;Aulnay-sur-Mauldre;78126;-0,52%;1 137;510;Not found!;9,7%
8;https://www.villesavivre.fr/genainville-95270;16,9%;13,8%;16,9%;26,2%;19,9%;5,9%;0,4%;20,1%;6,4%;24,9%;18,7%;13,5%;7,6%;8,8%;100%;5,67%;27330;10,6%;Not found!;Not found!;2764;-17,69%;569;1162;612;339;63;Magny-en-Vexin (4,9 km);Magny-en-Vexin (4,7 km);Magny-en-Vexin (4,8 km);Magny-en-Vexin (4,9 km);Magny-en-Vexin (4,7 km);Aincourt (4,5 km);1;1;Magny-en-Vexin (4,8 km);Mantes-la-Jolie (13,9 km);Limay (14,2 km);Magny-en-Vexin (4 km);Maudétour-en-Vexin (2,4 km);Charmont (3,3 km);Magny-en-Vexin (4,8 km);Bray-et-Lû (7,6 km);3;Magny-en-Vexin (4,8 km);Mantes-la-Jolie (14 km);Omerville (3,6 km);45,8;Santeuil (14,2 km);Charmont à 3,5 km;Arthies à 3,9 km;Hodent à 2,9 km;Maudétour-en-Vexin à 1,8 km;Aincourt à 5,1 km;Banthelu à 4,5 km;Chaussy à 3,7 km;Omerville à 3,7 km;Villers-en-Arthies à 3,9 km;Saint-Gervais à 5,6 km;9,7%;86%;4,3%;Not found!;13,1%;0,8%;5,1%;17,8%;24%;52,3%;4303;Genainville;95420;-2,76%;529;50;Not found!;13,1%
9;https://www.villesavivre.fr/la-celle-saint-cloud-78126;21,4%;15,7%;18,8%;20,7%;14,3%;7,9%;1,2%;13,2%;4,1%;13,7%;15,2%;12%;14,6%;27,1%;96,92%;7,34%;28840;21,6%;3891;-3,83%;7836;+10,12%;566;726;1363;629;76;16;8;12;6;Le Chesnay-Rocquencourt (1,8 km);8;6;6;2;1;Vaucresson (2,4 km);3;4;2;1;Le Chesnay-Rocquencourt (2,3 km);30;9;1;2;21,4;2;Rueil-Malmaison à 4 km;Vaucresson à 2 km;Le Chesnay-Rocquencourt à 2,2 km;Bougival à 1,9 km;Croissy-sur-Seine à 3,5 km;Louveciennes à 2,1 km;Marly-le-Roi à 3,7 km;Marnes-la-Coquette à 3 km;Bailly à 4,1 km;Garches à 3,9 km;6,1%;92,4%;1,5%;Not found!;46,1%;5,7%;9,6%;24%;29,3%;31,4%;6187;La Celle-Saint-Cloud;78170;-2,37%;20 476;3518;24,9%;Not found!
